gene_id	seqnames	start	end	width	strand	isoform_id	gene_name	ensembl_gene_name
ENSG00000174437	chr12	110282604	110282621	18	+	ENST00000539276.7	ATP2A2	ATP2A2
ENSG00000174437	chr12	110282604	110282621	18	+	transcript43194.chr12.nic	ATP2A2	ATP2A2
ENSG00000174437	chr12	110282604	110282621	18	+	transcript44332.chr12.nic	ATP2A2	ATP2A2
ENSG00000182944	chr22	29268326	29268349	24	+	ENST00000332035.10	EWSR1	EWSR1
ENSG00000182944	chr22	29274265	29274282	18	+	ENST00000414183.6	EWSR1	EWSR1
ENSG00000182944	chr22	29274265	29274282	18	+	transcript29156.chr22.nic	EWSR1	EWSR1
ENSG00000182944	chr22	29292159	29292169	11	+	ENST00000360091.3	EWSR1	EWSR1
ENSG00000182979	chr14	105468338	105468349	12	+	ENST00000435036.6	MTA1	MTA1
ENSG00000184752	chr12	95002806	95002821	16	-	ENST00000547157.1	NDUFA12	NDUFA12
ENSG00000188157	chr1	1051032	1051043	12	+	ENST00000620552.4	AGRN	AGRN
ENSG00000188157	chr1	1051032	1051043	12	+	ENST00000651234.1	AGRN	AGRN
ENSG00000188157	chr1	1051993	1052016	24	+	ENST00000620552.4	AGRN	AGRN
ENSG00000188157	chr1	1051993	1052016	24	+	ENST00000651234.1	AGRN	AGRN
ENSG00000188343	chr8	93702520	93702543	24	+	ENST00000522803.5	CIBAR1	CIBAR1
ENSG00000188343	chr8	93702520	93702543	24	+	transcript21803.chr8.nic	CIBAR1	CIBAR1
ENSG00000188343	chr8	93708011	93708016	6	+	ENST00000423990.6	CIBAR1	CIBAR1
ENSG00000188343	chr8	93708011	93708016	6	+	ENST00000452913.6	CIBAR1	CIBAR1
ENSG00000188343	chr8	93708011	93708016	6	+	ENST00000518116.5	CIBAR1	CIBAR1
ENSG00000188343	chr8	93708011	93708016	6	+	ENST00000522803.5	CIBAR1	CIBAR1
ENSG00000188343	chr8	93708011	93708016	6	+	ENST00000523577.5	CIBAR1	CIBAR1
ENSG00000188343	chr8	93708011	93708016	6	+	transcript21803.chr8.nic	CIBAR1	CIBAR1
ENSG00000196923	chr5	177553199	177553218	20	-	transcript45584.chr5.nnic	PDLIM7	PDLIM7
ENSG00000196924	chrX	154350031	154350036	6	-	transcript36277.chrX.nnic	FLNA	FLNA
ENSG00000196924	chrX	154356824	154356842	19	-	transcript36277.chrX.nnic	FLNA	FLNA
ENSG00000196924	chrX	154357251	154357274	24	-	ENST00000369850.10	FLNA	FLNA
ENSG00000196924	chrX	154357251	154357274	24	-	ENST00000676696.1	FLNA	FLNA
ENSG00000197043	chr5	151110627	151110644	18	-	ENST00000354546.10	ANXA6	ANXA6
ENSG00000197043	chr5	151110627	151110644	18	-	transcript39834.chr5.nnic	ANXA6	ANXA6
ENSG00000204843	chr2	74372928	74372948	21	-	ENST00000361874.8	DCTN1	DCTN1
ENSG00000204843	chr2	74372928	74372948	21	-	ENST00000409438.5	DCTN1	DCTN1
ENSG00000204843	chr2	74372928	74372948	21	-	ENST00000409868.5	DCTN1	DCTN1
ENSG00000204843	chr2	74374323	74374340	18	-	ENST00000361874.8	DCTN1	DCTN1
ENSG00000204843	chr2	74374323	74374340	18	-	ENST00000409868.5	DCTN1	DCTN1
ENSG00000204843	chr2	74376742	74376762	21	-	ENST00000361874.8	DCTN1	DCTN1
ENSG00000204843	chr2	74376742	74376762	21	-	ENST00000409868.5	DCTN1	DCTN1
