ensembl_transcript_id	TXNAME	H9-FT_1	transcript_length
ENST00000223324	ENST00000223324.3	31.47053	859
ENST00000223336	ENST00000223336.11	40.08413	899
ENST00000223364	ENST00000223364.7	0.35828	612
ENST00000223641	ENST00000223641.5	101.63281	564
ENST00000223836	ENST00000223836.10	0.12076	736
ENST00000223864	ENST00000223864.7	11.36091	981
ENST00000224073	ENST00000224073.6	154.8771	662
ENST00000225387	ENST00000225387.8	12.54587	798
ENST00000225430	ENST00000225430.9	1337.07866	737
ENST00000225655	ENST00000225655.6	239.93768	807
ENST00000225831	ENST00000225831.4	7.20833	741
ENST00000225969	ENST00000225969.9	23.96226	686
ENST00000225992	ENST00000225992.8	1.20756	468
ENST00000226105	ENST00000226105.11	19.64213	831
ENST00000228140	ENST00000228140.6	2.31908	491
ENST00000228825	ENST00000228825.12	91.1705	946
ENST00000228841	ENST00000228841.15	0.04025	783
ENST00000229238	ENST00000229238.5	49.17373	898
ENST00000229281	ENST00000229281.6	72.00022	561
ENST00000229379	ENST00000229379.3	103.71841	537
ENST00000230050	ENST00000230050.4	1530.18524	503
ENST00000230413	ENST00000230413.9	2.65423	899
ENST00000230431	ENST00000230431.11	51.90522	654
ENST00000230480	ENST00000230480.10	0.7758	993
ENST00000231504	ENST00000231504.5	0.27645	564
ENST00000232125	ENST00000232125.9	0.12203	801
ENST00000232519	ENST00000232519.9	0.13481	690
ENST00000232905	ENST00000232905.4	92.12917	987
ENST00000232975	ENST00000232975.8	3.01889	687
ENST00000233143	ENST00000233143.6	1027.26819	461
ENST00000233468	ENST00000233468.5	65.20804	651
ENST00000233545	ENST00000233545.6	1.15194	998
ENST00000233609	ENST00000233609.8	5.90717	534
ENST00000233627	ENST00000233627.14	51.92592	758
ENST00000233630	ENST00000233630.11	8.03737	907
ENST00000233699	ENST00000233699.8	0.18215	602
ENST00000233893	ENST00000233893.10	145.16481	557
ENST00000236067	ENST00000236067.8	1.16957	944
ENST00000236850	ENST00000236850.5	0.2291	899
ENST00000237014	ENST00000237014.8	3.48396	616
ENST00000237858	ENST00000237858.11	7.03994	932
ENST00000237889	ENST00000237889.9	40.16003	493
ENST00000238044	ENST00000238044.8	2.0837	753
ENST00000238138	ENST00000238138.2	1.9807	868
ENST00000238618	ENST00000238618.8	23.81164	580
ENST00000238628	ENST00000238628.10	0.17633	816
ENST00000238633	ENST00000238633.6	0.26075	796
ENST00000238688	ENST00000238688.9	1.83572	394
ENST00000239666	ENST00000239666.9	12.99786	991
ENST00000240488	ENST00000240488.8	10.13054	929
ENST00000242152	ENST00000242152.7	1.38437	555
ENST00000242577	ENST00000242577.11	60.79429	663
ENST00000242784	ENST00000242784.5	81.80933	879
ENST00000242827	ENST00000242827.11	18.01927	977
ENST00000243112	ENST00000243112.9	0.98624	627
ENST00000243325	ENST00000243325.6	0.72453	393
ENST00000243893	ENST00000243893.10	0.38492	476
ENST00000244217	ENST00000244217.6	4.76487	824
ENST00000244520	ENST00000244520.10	59.8413	806
ENST00000244534	ENST00000244534.7	5.67551	776
ENST00000245185	ENST00000245185.6	5.434	401
ENST00000245458	ENST00000245458.11	970.16516	295
ENST00000245552	ENST00000245552.7	24.46477	901
ENST00000245812	ENST00000245812.8	74.46304	970
ENST00000245857	ENST00000245857.9	0.16475	588
ENST00000245903	ENST00000245903.4	0.60378	911
ENST00000246020	ENST00000246020.3	0.06038	705
ENST00000246105	ENST00000246105.4	0.12076	698
ENST00000246163	ENST00000246163.2	0.37196	897
ENST00000246551	ENST00000246551.9	0.24151	564
ENST00000246747	ENST00000246747.9	45.25606	932
ENST00000246792	ENST00000246792.4	36.22669	986
ENST00000247470	ENST00000247470.10	0.36227	757
ENST00000247655	ENST00000247655.4	352.95599	629
ENST00000247665	ENST00000247665.12	129.05017	577
ENST00000247866	ENST00000247866.9	101.96166	465
ENST00000248089	ENST00000248089.8	17.97048	656
ENST00000248150	ENST00000248150.5	0.48302	985
ENST00000248378	ENST00000248378.6	21.10205	656
ENST00000248451	ENST00000248451.7	49.14234	758
ENST00000248553	ENST00000248553.7	232.00119	777
ENST00000248566	ENST00000248566.4	99.96969	458
ENST00000248572	ENST00000248572.10	1.26427	661
ENST00000248948	ENST00000248948.4	0.06038	567
ENST00000248958	ENST00000248958.5	26.56624	825
ENST00000249209	ENST00000249209.8	5.76	852
ENST00000249289	ENST00000249289.5	85.97801	678
ENST00000250498	ENST00000250498.9	69.52274	684
ENST00000251453	ENST00000251453.8	949.21714	631
ENST00000251595	ENST00000251595.11	0.12076	576
ENST00000252102	ENST00000252102.9	57.71649	649
ENST00000252453	ENST00000252453.12	0.06038	872
ENST00000252602	ENST00000252602.2	34.22362	764
ENST00000252622	ENST00000252622.15	55.7518	491
ENST00000252816	ENST00000252816.10	0.89056	986
ENST00000252951	ENST00000252951.3	0.12076	798
ENST00000252984	ENST00000252984.11	0.58526	955
ENST00000253047	ENST00000253047.7	39.60785	655
ENST00000253451	ENST00000253451.9	0.04025	958
ENST00000253452	ENST00000253452.8	268.52434	763
ENST00000253461	ENST00000253461.8	2.49729	953
ENST00000253788	ENST00000253788.12	610.58022	505
ENST00000253796	ENST00000253796.10	26.00262	752
ENST00000254262	ENST00000254262.9	0.3989	875
ENST00000254301	ENST00000254301.14	2.77338	958
ENST00000254661	ENST00000254661.5	0.60378	823
ENST00000254878	ENST00000254878.8	28.51239	987
ENST00000255688	ENST00000255688.8	0.18113	758
ENST00000255695	ENST00000255695.2	0.12076	738
ENST00000256644	ENST00000256644.8	39.79629	868
ENST00000257017	ENST00000257017.5	3.13965	945
ENST00000257245	ENST00000257245.9	19.77931	668
ENST00000257262	ENST00000257262.12	0.49132	468
ENST00000257663	ENST00000257663.4	14.49068	877
ENST00000258416	ENST00000258416.8	31.7787	967
ENST00000259457	ENST00000259457.8	82.94493	984
ENST00000259632	ENST00000259632.12	47.28521	828
ENST00000259667	ENST00000259667.6	16.30544	649
ENST00000260287	ENST00000260287.2	0.24151	513
ENST00000260447	ENST00000260447.6	33.49601	727
ENST00000261070	ENST00000261070.7	18.39495	426
ENST00000261203	ENST00000261203.7	1.66492	989
ENST00000261406	ENST00000261406.7	0.60378	958
ENST00000261499	ENST00000261499.11	12.26086	913
ENST00000261623	ENST00000261623.8	28.60873	692
ENST00000261796	ENST00000261796.4	0.12076	712
ENST00000261811	ENST00000261811.6	34.53611	790
ENST00000262193	ENST00000262193.7	114.23172	891
ENST00000262306	ENST00000262306.11	5.38427	582
ENST00000262947	ENST00000262947.8	58.08346	990
ENST00000263270	ENST00000263270.11	68.61758	789
ENST00000263326	ENST00000263326.8	0.24151	864
ENST00000263368	ENST00000263368.9	44.82252	799
ENST00000263831	ENST00000263831.11	2.87687	859
ENST00000263863	ENST00000263863.9	0.02415	777
ENST00000263864	ENST00000263864.10	1.44907	679
ENST00000263897	ENST00000263897.10	11.07331	845
ENST00000264001	ENST00000264001.9	4.07073	656
ENST00000264218	ENST00000264218.7	11.19408	816
ENST00000265093	ENST00000265093.4	0.13707	773
ENST00000265100	ENST00000265100.6	9.93685	722
ENST00000265259	ENST00000265259.5	0.24151	766
ENST00000265304	ENST00000265304.11	44.71589	677
ENST00000265462	ENST00000265462.9	96.41331	860
ENST00000265498	ENST00000265498.6	1.11118	740
ENST00000265538	ENST00000265538.3	0.24288	388
ENST00000265601	ENST00000265601.7	0.44934	904
ENST00000265643	ENST00000265643.4	5.434	749
ENST00000265745	ENST00000265745.13	0.14134	769
ENST00000266395	ENST00000266395.3	3.13965	727
ENST00000266735	ENST00000266735.10	92.58544	452
ENST00000267017	ENST00000267017.4	0.24151	440
ENST00000267869	ENST00000267869.8	0.79276	518
ENST00000267935	ENST00000267935.13	13.34596	895
ENST00000267953	ENST00000267953.4	0.06038	780
ENST00000269298	ENST00000269298.10	17.81269	912
ENST00000269582	ENST00000269582.3	0.84529	958
ENST00000269724	ENST00000269724.5	0.12076	750
ENST00000270142	ENST00000270142.11	204.53847	895
ENST00000270221	ENST00000270221.11	29.50376	649
ENST00000270310	ENST00000270310.7	1.32831	708
ENST00000270586	ENST00000270586.8	92.70973	824
ENST00000270625	ENST00000270625.7	1622.86343	573
ENST00000270631	ENST00000270631.2	47.00056	454
ENST00000270792	ENST00000270792.10	79.45721	751
ENST00000271002	ENST00000271002.15	15.48082	961
ENST00000271638	ENST00000271638.3	29.58513	563
ENST00000272274	ENST00000272274.8	2.00248	616
ENST00000272317	ENST00000272317.11	92.69819	785
ENST00000272348	ENST00000272348.7	62.34297	594
ENST00000273668	ENST00000273668.7	1.32831	998
ENST00000273860	ENST00000273860.8	1.02864	636
ENST00000274137	ENST00000274137.10	78.61192	518
ENST00000274456	ENST00000274456.6	3.38116	795
ENST00000274606	ENST00000274606.8	73.76189	780
ENST00000274787	ENST00000274787.3	75.23076	654
ENST00000274990	ENST00000274990.4	0.02737	800
ENST00000275036	ENST00000275036.11	109.88175	831
ENST00000276062	ENST00000276062.9	0.89056	587
ENST00000276096	ENST00000276096.10	1.7385	904
ENST00000276105	ENST00000276105.3	0.38039	720
ENST00000276585	ENST00000276585.9	10.49496	838
ENST00000278025	ENST00000278025.9	3.65937	689
ENST00000278282	ENST00000278282.3	0.06038	443
ENST00000278882	ENST00000278882.8	1.93209	761
ENST00000279168	ENST00000279168.7	0.24151	752
ENST00000279259	ENST00000279259.7	3.31354	461
ENST00000279396	ENST00000279396.11	57.8673	946
ENST00000280096	ENST00000280096.5	0.24151	504
ENST00000280362	ENST00000280362.8	19.61616	872
ENST00000281871	ENST00000281871.11	0.12076	599
ENST00000282110	ENST00000282110.8	0.95252	637
ENST00000282964	ENST00000282964.5	0.24151	442
ENST00000282999	ENST00000282999.7	1.41519	937
ENST00000283547	ENST00000283547.2	1.0868	736
ENST00000284245	ENST00000284245.9	2.62968	911
ENST00000284563	ENST00000284563.7	0.61926	665
ENST00000284971	ENST00000284971.8	81.41277	526
ENST00000286953	ENST00000286953.8	146.795	615
ENST00000287038	ENST00000287038.8	1433.10605	498
ENST00000287490	ENST00000287490.5	0.12076	372
ENST00000287641	ENST00000287641.4	3.38116	607
ENST00000288025	ENST00000288025.4	0.36227	913
ENST00000288873	ENST00000288873.7	0.09806	872
ENST00000289316	ENST00000289316.2	1.62046	789
ENST00000289359	ENST00000289359.6	12.93213	939
ENST00000289373	ENST00000289373.5	61.46462	634
ENST00000289902	ENST00000289902.2	0.5434	590
ENST00000290079	ENST00000290079.9	12.88768	839
ENST00000290299	ENST00000290299.7	148.81831	756
ENST00000290354	ENST00000290354.6	0.24151	998
ENST00000290541	ENST00000290541.7	79.03494	918
ENST00000290953	ENST00000290953.3	4.58871	498
ENST00000291458	ENST00000291458.9	13.6937	720
ENST00000291527	ENST00000291527.3	0.12076	492
ENST00000291552	ENST00000291552.9	0.61013	945
ENST00000291568	ENST00000291568.7	81.37881	588
ENST00000291634	ENST00000291634.11	4.74483	892
ENST00000291715	ENST00000291715.5	5.43268	974
ENST00000291901	ENST00000291901.12	1.48741	967
ENST00000291934	ENST00000291934.4	0.24151	605
ENST00000292147	ENST00000292147.7	16.15362	920
ENST00000292169	ENST00000292169.6	0.18741	559
ENST00000292327	ENST00000292327.6	0.12076	885
ENST00000292330	ENST00000292330.3	16.23069	963
ENST00000292475	ENST00000292475.8	36.19748	443
ENST00000292614	ENST00000292614.10	66.89862	937
ENST00000292641	ENST00000292641.4	0.2157	478
ENST00000292879	ENST00000292879.9	1.70478	729
ENST00000292907	ENST00000292907.8	0.20126	340
ENST00000293330	ENST00000293330.1	0.72453	577
ENST00000293422	ENST00000293422.9	108.12766	664
ENST00000293777	ENST00000293777.6	6.76006	836
ENST00000293981	ENST00000293981.10	0.31358	915
ENST00000294117	ENST00000294117.6	3.38116	864
ENST00000294189	ENST00000294189.11	875.39223	754
ENST00000294435	ENST00000294435.8	1.0868	625
ENST00000294905	ENST00000294905.4	0.78132	631
ENST00000295008	ENST00000295008.8	1.28813	632
ENST00000295012	ENST00000295012.5	0.24151	889
ENST00000295066	ENST00000295066.3	1.59839	631
ENST00000295326	ENST00000295326.4	8.06951	444
ENST00000295682	ENST00000295682.6	54.46653	523
ENST00000295728	ENST00000295728.7	0.18717	902
ENST00000295864	ENST00000295864.9	0.14283	679
ENST00000295898	ENST00000295898.8	0.62103	908
ENST00000295899	ENST00000295899.10	29.41331	892
ENST00000295934	ENST00000295934.8	0.20736	977
ENST00000295955	ENST00000295955.14	0.43717	724
ENST00000296031	ENST00000296031.4	0.12076	577
ENST00000296099	ENST00000296099.2	1.44907	795
ENST00000296102	ENST00000296102.8	20.14378	508
ENST00000296277	ENST00000296277.9	6.82032	729
ENST00000296417	ENST00000296417.6	253.45349	866
ENST00000296597	ENST00000296597.10	22.50751	632
ENST00000296684	ENST00000296684.10	88.39251	669
ENST00000296694	ENST00000296694.5	0.03019	516
ENST00000297258	ENST00000297258.11	6.91094	676
ENST00000297283	ENST00000297283.4	0.72453	837
ENST00000297290	ENST00000297290.4	103.32391	790
ENST00000297347	ENST00000297347.7	22.93105	985
ENST00000297518	ENST00000297518.4	0.86921	783
ENST00000297564	ENST00000297564.6	0.38203	433
ENST00000297574	ENST00000297574.6	0.12076	801
ENST00000297873	ENST00000297873.9	2.19164	922
ENST00000298289	ENST00000298289.7	114.35559	676
ENST00000298818	ENST00000298818.12	0.26274	851
ENST00000298966	ENST00000298966.7	11.16904	987
ENST00000299166	ENST00000299166.9	90.34299	678
ENST00000299179	ENST00000299179.9	0.61369	747
ENST00000299185	ENST00000299185.12	0.06379	768
ENST00000299299	ENST00000299299.4	64.22529	787
ENST00000299529	ENST00000299529.7	1245.15573	738
ENST00000299714	ENST00000299714.7	1.31392	727
ENST00000300026	ENST00000300026.4	151.83418	893
ENST00000300030	ENST00000300030.8	41.41737	919
ENST00000300038	ENST00000300038.7	0.2577	995
ENST00000300823	ENST00000300823.10	6.65256	817
ENST00000300851	ENST00000300851.10	0.27159	876
ENST00000301159	ENST00000301159.14	6.02295	935
ENST00000301242	ENST00000301242.9	4.58871	560
ENST00000301457	ENST00000301457.3	76.29846	580
ENST00000301464	ENST00000301464.4	2.8657	947
ENST00000301488	ENST00000301488.8	23.67218	909
ENST00000301490	ENST00000301490.8	2.76033	809
ENST00000301522	ENST00000301522.3	360.3232	925
ENST00000301585	ENST00000301585.10	9.89129	894
ENST00000301587	ENST00000301587.9	84.35748	609
ENST00000301599	ENST00000301599.7	2.43021	874
ENST00000301686	ENST00000301686.13	33.85886	797
ENST00000301788	ENST00000301788.12	86.68108	791
ENST00000301897	ENST00000301897.5	0.177	870
ENST00000301944	ENST00000301944.3	0.36227	918
ENST00000302005	ENST00000302005.3	0.72453	679
ENST00000302096	ENST00000302096.5	0.48302	823
ENST00000302182	ENST00000302182.8	314.90602	933
ENST00000302362	ENST00000302362.11	34.14636	868
ENST00000302533	ENST00000302533.6	0.59962	890
ENST00000302979	ENST00000302979.5	38.12118	693
ENST00000303151	ENST00000303151.5	15.69823	850
ENST00000303731	ENST00000303731.9	56.69539	812
ENST00000303910	ENST00000303910.5	5.19249	517
ENST00000304043	ENST00000304043.10	368.10691	852
ENST00000304218	ENST00000304218.6	24.25924	787
ENST00000304298	ENST00000304298.4	3.74342	843
ENST00000304312	ENST00000304312.5	125.49637	303
ENST00000304494	ENST00000304494.10	0.13838	978
ENST00000304511	ENST00000304511.7	12.22542	759
ENST00000304725	ENST00000304725.3	0.12076	746
ENST00000304800	ENST00000304800.14	17.62584	776
ENST00000304952	ENST00000304952.11	24.16278	885
ENST00000304954	ENST00000304954.4	0.12076	831
ENST00000304979	ENST00000304979.8	14.07163	754
ENST00000305105	ENST00000305105.3	48.15469	728
ENST00000305199	ENST00000305199.9	0.06038	681
ENST00000305904	ENST00000305904.11	1.56982	628
ENST00000305978	ENST00000305978.7	20.85259	771
ENST00000305991	ENST00000305991.3	2.1736	722
ENST00000306061	ENST00000306061.10	0.48302	704
ENST00000306256	ENST00000306256.13	0.25882	695
ENST00000306357	ENST00000306357.9	18.1212	830
ENST00000306368	ENST00000306368.9	26.86069	685
ENST00000306384	ENST00000306384.5	1.20756	660
ENST00000306704	ENST00000306704.10	8.52829	751
ENST00000306869	ENST00000306869.7	15.631	852
ENST00000307106	ENST00000307106.3	4.70488	274
ENST00000307165	ENST00000307165.4	0.24151	937
ENST00000307650	ENST00000307650.9	6.83245	931
ENST00000307786	ENST00000307786.8	0.06038	670
ENST00000307944	ENST00000307944.6	5.28763	844
ENST00000307979	ENST00000307979.7	1.13267	794
ENST00000308774	ENST00000308774.6	1.92361	561
ENST00000308906	ENST00000308906.6	0.84529	868
ENST00000308987	ENST00000308987.6	55.64482	779
ENST00000309032	ENST00000309032.8	29.23043	929
ENST00000309048	ENST00000309048.8	4.82589	905
ENST00000309244	ENST00000309244.9	48.72542	872
ENST00000309318	ENST00000309318.8	77.16285	989
ENST00000309324	ENST00000309324.9	28.69298	516
ENST00000309328	ENST00000309328.8	7.83511	769
ENST00000309366	ENST00000309366.9	36.84201	574
ENST00000309384	ENST00000309384.3	0.36227	928
ENST00000309439	ENST00000309439.9	1.92003	868
ENST00000309451	ENST00000309451.7	95.9025	599
ENST00000309579	ENST00000309579.7	84.50471	364
ENST00000309775	ENST00000309775.8	0.13083	800
ENST00000309889	ENST00000309889.3	1.44907	960
ENST00000309950	ENST00000309950.8	193.23867	549
ENST00000310331	ENST00000310331.3	4.83023	693
ENST00000310398	ENST00000310398.7	0.12076	738
ENST00000310450	ENST00000310450.8	0.29876	920
ENST00000310991	ENST00000310991.8	0.77317	935
ENST00000311069	ENST00000311069.6	0.06038	747
ENST00000311083	ENST00000311083.10	50.82875	908
ENST00000311122	ENST00000311122.5	0.66792	724
ENST00000311351	ENST00000311351.9	17.59503	906
ENST00000311534	ENST00000311534.6	1.44835	813
ENST00000311549	ENST00000311549.11	7.80369	566
ENST00000311623	ENST00000311623.9	0.02417	788
ENST00000311672	ENST00000311672.10	196.78696	537
ENST00000311832	ENST00000311832.6	12.74913	695
ENST00000311893	ENST00000311893.14	48.97786	983
ENST00000312037	ENST00000312037.6	1.96847	712
ENST00000312175	ENST00000312175.7	72.50301	731
ENST00000312189	ENST00000312189.10	1.78326	836
ENST00000312283	ENST00000312283.12	0.16799	785
ENST00000312475	ENST00000312475.5	13.63142	986
ENST00000312515	ENST00000312515.7	70.96119	822
ENST00000312547	ENST00000312547.7	30.14195	894
ENST00000312579	ENST00000312579.4	15.69823	963
ENST00000313104	ENST00000313104.9	8.26367	912
ENST00000313115	ENST00000313115.11	63.35053	471
ENST00000313468	ENST00000313468.10	64.39871	737
ENST00000313936	ENST00000313936.14	0.24664	682
ENST00000314067	ENST00000314067.11	22.01895	816
ENST00000314133	ENST00000314133.4	159.27668	494
ENST00000314332	ENST00000314332.5	0.65027	659
ENST00000314355	ENST00000314355.7	72.9364	616
ENST00000314391	ENST00000314391.3	0.24151	915
ENST00000314392	ENST00000314392.13	18.77916	912
ENST00000314397	ENST00000314397.9	6.21546	637
ENST00000314523	ENST00000314523.7	2.91263	809
ENST00000314674	ENST00000314674.7	0.19614	980
ENST00000314715	ENST00000314715.3	0.12076	928
ENST00000315626	ENST00000315626.6	0.04025	991
ENST00000315713	ENST00000315713.5	0.31122	884
ENST00000315732	ENST00000315732.3	14.43981	860
ENST00000316052	ENST00000316052.6	10.50574	842
ENST00000316193	ENST00000316193.13	0.72453	821
ENST00000316425	ENST00000316425.9	0.3746	756
ENST00000316495	ENST00000316495.8	7.97002	878
ENST00000317292	ENST00000317292.9	0.56398	745
ENST00000317306	ENST00000317306.8	0.04025	751
ENST00000317378	ENST00000317378.5	6.20677	790
ENST00000317459	ENST00000317459.11	13.09605	968
ENST00000317479	ENST00000317479.8	12.24415	970
ENST00000317534	ENST00000317534.6	65.37735	667
ENST00000317635	ENST00000317635.6	20.46068	958
ENST00000317943	ENST00000317943.6	0.15709	708
ENST00000318317	ENST00000318317.8	3.71237	957
ENST00000318364	ENST00000318364.13	34.02941	999
ENST00000318388	ENST00000318388.11	70.87636	857
ENST00000318565	ENST00000318565.11	0.12396	762
ENST00000319107	ENST00000319107.8	0.17077	770
ENST00000319248	ENST00000319248.13	120.85743	945
ENST00000319560	ENST00000319560.7	0.12076	732
ENST00000319813	ENST00000319813.3	0.12076	981
ENST00000319826	ENST00000319826.8	6.37154	806
ENST00000320054	ENST00000320054.4	0.12695	788
ENST00000320139	ENST00000320139.5	0.30006	773
ENST00000320161	ENST00000320161.10	2.97423	680
ENST00000320868	ENST00000320868.9	0.12076	577
ENST00000321153	ENST00000321153.9	1427.42762	462
ENST00000321301	ENST00000321301.7	73.32575	706
ENST00000321336	ENST00000321336.1	0.12076	664
ENST00000321679	ENST00000321679.4	1.239	581
ENST00000321751	ENST00000321751.9	4.77017	798
ENST00000321762	ENST00000321762.3	0.12076	973
ENST00000322028	ENST00000322028.5	103.84985	876
ENST00000322203	ENST00000322203.7	643.1878	718
ENST00000322275	ENST00000322275.9	6.31041	969
ENST00000322310	ENST00000322310.10	16.58337	863
ENST00000322353	ENST00000322353.3	0.36227	558
ENST00000322861	ENST00000322861.12	15.08672	657
ENST00000324384	ENST00000324384.4	0.06038	615
ENST00000324544	ENST00000324544.6	0.35898	809
ENST00000324557	ENST00000324557.9	2.53587	975
ENST00000324723	ENST00000324723.10	0.71611	852
ENST00000324913	ENST00000324913.10	23.47928	523
ENST00000324987	ENST00000324987.4	0.13246	778
ENST00000325000	ENST00000325000.4	0.84529	645
ENST00000325318	ENST00000325318.10	25.76646	625
ENST00000325630	ENST00000325630.3	0.12076	485
ENST00000326004	ENST00000326004.4	4.0765	821
ENST00000326071	ENST00000326071.8	1.30468	701
ENST00000326092	ENST00000326092.8	1.09226	641
ENST00000326294	ENST00000326294.4	0.12076	907
ENST00000326577	ENST00000326577.9	12.31873	977
ENST00000326597	ENST00000326597.6	0.50991	946
ENST00000326656	ENST00000326656.12	2.98661	928
ENST00000326677	ENST00000326677.9	6.55888	504
ENST00000326925	ENST00000326925.11	44.84417	902
ENST00000326961	ENST00000326961.6	0.48302	773
ENST00000327154	ENST00000327154.10	7.24277	815
ENST00000327351	ENST00000327351.6	0.31763	804
ENST00000327428	ENST00000327428.10	8.31712	555
ENST00000327772	ENST00000327772.7	48.78394	562
ENST00000328020	ENST00000328020.10	0.64044	981
ENST00000328087	ENST00000328087.6	0.12076	604
ENST00000328221	ENST00000328221.5	0.12123	844
ENST00000328344	ENST00000328344.2	0.04025	530
ENST00000328404	ENST00000328404.8	0.12076	780
ENST00000328434	ENST00000328434.8	41.05692	780
ENST00000328540	ENST00000328540.8	2.66441	826
ENST00000328698	ENST00000328698.2	0.06038	370
ENST00000328739	ENST00000328739.6	0.03019	698
ENST00000328788	ENST00000328788.5	0.24151	964
ENST00000328863	ENST00000328863.8	0.1531	738
ENST00000329092	ENST00000329092.12	0.24239	456
ENST00000329151	ENST00000329151.5	0.13835	871
ENST00000329363	ENST00000329363.9	0.23238	872
ENST00000329493	ENST00000329493.6	0.24151	654
ENST00000329559	ENST00000329559.8	0.35254	528
ENST00000329615	ENST00000329615.4	0.04025	718
ENST00000329667	ENST00000329667.7	0.26058	562
ENST00000329743	ENST00000329743.4	2.68078	379
ENST00000329819	ENST00000329819.4	0.62516	922
ENST00000329967	ENST00000329967.11	58.83002	752
ENST00000329970	ENST00000329970.8	47.04946	788
ENST00000330029	ENST00000330029.6	116.91125	916
ENST00000330133	ENST00000330133.5	16.42277	608
ENST00000330597	ENST00000330597.5	0.12076	587
ENST00000330735	ENST00000330735.7	8.06317	858
ENST00000330942	ENST00000330942.9	0.25657	721
ENST00000331056	ENST00000331056.10	0.46482	988
ENST00000331090	ENST00000331090.11	0.06038	920
ENST00000331128	ENST00000331128.6	2.05285	497
ENST00000331267	ENST00000331267.5	0.48302	462
ENST00000331380	ENST00000331380.4	5.55476	494
ENST00000331442	ENST00000331442.5	9.66045	797
ENST00000331491	ENST00000331491.2	1.56982	469
ENST00000331711	ENST00000331711.11	1.89285	838
ENST00000331825	ENST00000331825.11	1125.44252	871
ENST00000331860	ENST00000331860.7	0.12076	985
ENST00000331944	ENST00000331944.10	2.05285	529
ENST00000332220	ENST00000332220.10	0.12318	776
ENST00000332372	ENST00000332372.6	0.48302	722
ENST00000332375	ENST00000332375.4	0.43767	988
ENST00000332865	ENST00000332865.10	0.12907	533
ENST00000332869	ENST00000332869.5	0.60378	704
ENST00000333001	ENST00000333001.10	0.64044	883
ENST00000333119	ENST00000333119.8	33.14572	595
ENST00000333130	ENST00000333130.4	19.30334	744
ENST00000333151	ENST00000333151.5	1.93209	476
ENST00000333383	ENST00000333383.8	1.20756	575
