isoform_id	hmm_acc	hmm_name	clan	orf_aa_start	orf_aa_end	type	bit_score	E_value	significant	residue	domain_isotype	domain_isotype_simple	transcriptStart	transcriptEnd	pfamStarExon	pfamEndExon	pfamStartGenomic	pfamEndGenomic
BambuTx229	PF00153.32	Mito_carr	No_Clan	102	202	Repeat	73.5	1e-20	1	NA	Insertion	Non-reference	625	927	3	5	40799305	40807447
BambuTx229	PF00153.32	Mito_carr	No_Clan	205	298	Repeat	78.1	3.8e-22	1	NA	Reference	Reference	934	1215	5	7	40807454	40809655
BambuTx230	PF00153.32	Mito_carr	No_Clan	6	96	Repeat	63.3	1.6e-17	1	NA	Reference	Reference	327	599	2	3	40793242	40799289
BambuTx230	PF00153.32	Mito_carr	No_Clan	102	202	Repeat	73.5	1e-20	1	NA	Insertion	Non-reference	615	917	3	5	40799305	40807447
BambuTx230	PF00153.32	Mito_carr	No_Clan	205	298	Repeat	78.1	3.8e-22	1	NA	Reference	Reference	924	1205	5	7	40807454	40809655
BambuTx233	PF00642.29	zf-CCCH	CL0537	15	40	Family	22	1.4e-4	1	NA	Truncation	Non-reference	846	923	2	2	97276278	97276355
BambuTx233	PF22628.1	zf-CCCH_10	CL0537	48	86	Domain	74.6	3.7e-21	1	NA	Reference	Reference	945	1061	2	3	97276377	97334359
BambuTx233	PF00642.29	zf-CCCH	CL0537	177	203	Family	21.2	2.5e-4	1	NA	Reference	Reference	1332	1412	4	5	97343205	97346872
BambuTx233	PF22628.1	zf-CCCH_10	CL0537	213	251	Domain	78	3.1e-22	1	NA	Reference	Reference	1440	1556	5	5	97346900	97347016
BambuTx235	PF14735.11	HAUS4	No_Clan	127	360	Family	294.7	5.9e-88	1	NA	Reference	Reference	794	1495	5	10	22951641	22946537
BambuTx248	PF00179.31	UQ_con	CL0208	78	217	Domain	77.1	1.2e-21	1	NA	Reference	Reference	603	1022	3	8	53498407	53494197
BambuTx249	PF13465.11	zf-H2C2_2	CL0361	216	241	Domain	41.1	1.5e-10	1	NA	Reference	Reference	1377	1454	3	3	57997620	57997543
BambuTx249	PF00096.31	zf-C2H2	CL0361	258	280	Domain	21.9	2e-4	1	NA	Reference	Reference	1503	1571	3	3	57997494	57997426
BambuTx249	PF00096.31	zf-C2H2	CL0361	315	337	Domain	26.8	5.4e-6	1	NA	Reference	Reference	1674	1742	3	3	57997323	57997255
BambuTx249	PF00096.31	zf-C2H2	CL0361	343	365	Domain	23.6	5.7e-5	1	NA	Reference	Reference	1758	1826	3	3	57997239	57997171
BambuTx249	PF00096.31	zf-C2H2	CL0361	371	393	Domain	16.8	0.0084	1	NA	Reference	Reference	1842	1910	3	3	57997155	57997087
BambuTx249	PF00096.31	zf-C2H2	CL0361	399	420	Domain	17.6	0.0047	1	NA	Truncation	Non-reference	1926	1991	3	3	57997071	57997006
BambuTx249	PF00096.31	zf-C2H2	CL0361	428	450	Domain	25.6	1.3e-5	1	NA	Reference	Reference	2013	2081	3	3	57996984	57996916
BambuTx249	PF13465.11	zf-H2C2_2	CL0361	500	525	Domain	41.9	8.3e-11	1	NA	Reference	Reference	2229	2306	3	3	57996768	57996691
BambuTx25	PF00096.31	zf-C2H2	CL0361	189	211	Domain	16.6	0.0098	1	NA	Reference	Reference	793	861	3	3	119623778	119623710
BambuTx25	PF00096.31	zf-C2H2	CL0361	261	283	Domain	25.7	1.3e-5	1	NA	Reference	Reference	1009	1077	3	3	119623562	119623494
BambuTx25	PF00096.31	zf-C2H2	CL0361	290	311	Domain	16.3	0.012	1	NA	Reference	Reference	1096	1161	3	3	119623475	119623410
BambuTx25	PF00096.31	zf-C2H2	CL0361	317	339	Domain	23.2	7.8e-5	1	NA	Reference	Reference	1177	1245	3	3	119623394	119623326
BambuTx25	PF00096.31	zf-C2H2	CL0361	353	375	Domain	26.4	7.6e-6	1	NA	Reference	Reference	1285	1353	3	3	119623286	119623218
BambuTx25	PF00096.31	zf-C2H2	CL0361	382	403	Domain	18.9	0.0017	1	NA	Reference	Reference	1372	1437	3	3	119623199	119623134
BambuTx25	PF00096.31	zf-C2H2	CL0361	409	431	Domain	23.8	5.1e-5	1	NA	Reference	Reference	1453	1521	3	3	119623118	119623050
BambuTx25	PF00096.31	zf-C2H2	CL0361	437	459	Domain	25.2	1.7e-5	1	NA	Reference	Reference	1537	1605	3	3	119623034	119622966
BambuTx25	PF00096.31	zf-C2H2	CL0361	465	487	Domain	23	8.7e-5	1	NA	Reference	Reference	1621	1689	3	3	119622950	119622882
BambuTx25	PF00096.31	zf-C2H2	CL0361	493	515	Domain	24.2	3.8e-5	1	NA	Reference	Reference	1705	1773	3	3	119622866	119622798
BambuTx25	PF00096.31	zf-C2H2	CL0361	521	543	Domain	19.9	8.6e-4	1	NA	Reference	Reference	1789	1857	3	3	119622782	119622714
BambuTx255	PF01145.30	Band_7	CL0433	5	111	Family	56.2	5.3e-15	1	NA	Complex	Non-reference	261	581	3	5	28883210	28882352
BambuTx255	PF15975.10	Flot	No_Clan	234	345	Family	30	5.3e-7	1	NA	Complex	Non-reference	948	1283	8	10	28881359	28880582
BambuTx277	PF06350.17	HSL_N	No_Clan	52	360	Family	396.1	1e-118	1	NA	Reference	Reference	261	1187	2	6	42410807	42407466
BambuTx277	PF07859.18	Abhydrolase_3	CL0028	392	550	Domain	121.7	4.1e-35	1	NA	Truncation	Non-reference	1281	1757	6	8	42407372	42405512
BambuTx277	PF07859.18	Abhydrolase_3	CL0028	682	773	Domain	43.5	3.6e-11	1	NA	Complex	Non-reference	2151	2426	9	10	42402765	42401959
BambuTx293	PF05920.16	Homeobox_KN	CL0123	36	75	Family	66.6	1.5e-18	1	NA	Reference	Reference	196	315	2	3	36578880	36590942
BambuTx295	PF02174.22	IRS	CL0266	34	123	Domain	80	1.2e-22	1	NA	Complex	Non-reference	508	777	5	6	54591630	54610481
BambuTx30	PF07989.16	Cnn_1N	No_Clan	70	143	Coiled-coil	80.3	1.1e-22	1	NA	Reference	Reference	555	776	3	6	149261660	149198472
BambuTx309	PF02893.25	GRAM	CL0266	471	596	Domain	78.9	2.9e-22	1	NA	Insertion	Non-reference	1574	1951	15	19	46673763	46677224
BambuTx31	PF07989.16	Cnn_1N	No_Clan	70	143	Coiled-coil	80.2	1.1e-22	1	NA	Reference	Reference	555	776	3	6	149261660	149198472
BambuTx310	PF01275.24	Myelin_PLP	No_Clan	23	258	Family	335.9	1.6e-100	1	NA	Reference	Reference	256	963	2	7	13785803	13772974
BambuTx311	PF01275.24	Myelin_PLP	No_Clan	4	239	Family	336.3	1.2e-100	1	NA	Reference	Reference	192	899	2	7	13785803	13772974
BambuTx35	PF07679.21	I-set	CL0159	21	118	Domain	30.7	2.9e-7	1	NA	Insertion	Non-reference	133	426	2	4	158076121	158084423
BambuTx35	PF08205.17	C2-set_2	CL0159	118	208	Domain	35.5	9.3e-9	1	NA	Complex	Non-reference	424	696	3	5	158078140	158086709
BambuTx35	PF13927.11	Ig_3	CL0159	307	390	Domain	55.2	9.1e-15	1	NA	Insertion	Non-reference	991	1242	8	9	158088329	158089579
BambuTx352	PF04664.18	OGFr_N	No_Clan	86	293	Family	348.6	1.2e-104	1	NA	Reference	Reference	309	932	3	7	62808262	62812494
BambuTx352	PF04680.18	OGFr_III	No_Clan	517	536	Repeat	27.4	3.8e-6	1	NA	Reference	Reference	1602	1661	7	7	62813164	62813223
BambuTx352	PF04680.18	OGFr_III	No_Clan	537	556	Repeat	21.4	3e-4	1	NA	Reference	Reference	1662	1721	7	8	62813224	62813403
BambuTx352	PF04680.18	OGFr_III	No_Clan	557	576	Repeat	29.6	8e-7	1	NA	Reference	Reference	1722	1781	8	8	62813404	62813463
BambuTx352	PF04680.18	OGFr_III	No_Clan	577	596	Repeat	29.6	8e-7	1	NA	Reference	Reference	1782	1841	8	8	62813464	62813523
BambuTx352	PF04680.18	OGFr_III	No_Clan	597	616	Repeat	21	4.1e-4	1	NA	Reference	Reference	1842	1901	8	8	62813524	62813583
BambuTx36	PF00581.25	Rhodanese	CL0031	19	122	Domain	62.5	4.9e-17	1	NA	Complex	Non-reference	76	387	1	4	161038901	161037784
BambuTx39	PF06702.17	Fam20C	CL0016	187	399	Family	298.1	4.5e-89	1	NA	Reference	Reference	891	1529	4	8	179054623	179072111
BambuTx43	PF03097.23	BRO1	CL0020	21	374	Repeat	149.6	1.4e-43	1	NA	Complex	Non-reference	153	1214	2	12	222715760	222731489
BambuTx5	PF00400.37	WD40	CL0186	45	83	Repeat	31.1	2.7e-7	1	NA	Reference	Reference	268	384	4	5	1815826	1806493
BambuTx5	PF00400.37	WD40	CL0186	87	125	Repeat	19	0.0018	1	NA	Complex	Non-reference	394	510	5	6	1806483	1804474
BambuTx5	PF00400.37	WD40	CL0186	133	170	Repeat	25.1	2.2e-5	1	NA	Truncation	Non-reference	532	645	6	8	1804452	1790584
BambuTx5	PF00400.37	WD40	CL0186	174	212	Repeat	35.6	1.1e-8	1	NA	Reference	Reference	655	771	8	8	1790574	1790458
BambuTx5	PF00400.37	WD40	CL0186	216	254	Repeat	40.5	3e-10	1	NA	Reference	Reference	781	897	8	9	1790448	1789207
BambuTx5	PF00400.37	WD40	CL0186	259	298	Repeat	23.4	7.3e-5	1	NA	Complex	Non-reference	910	1029	9	9	1789194	1789075
BambuTx5	PF00400.37	WD40	CL0186	303	340	Repeat	27.8	3e-6	1	NA	Truncation	Non-reference	1042	1155	9	10	1789062	1787334
BambuTx70	PF00160.26	Pro_isomerase	CL0475	2	154	Domain	182.3	9e-54	1	NA	Reference	Reference	126	584	3	7	200885772	200871419
BambuTx87	PF00102.32	Y_phosphatase	CL0031	105	349	Domain	299.7	1.8e-89	1	NA	Reference	Reference	354	1088	4	10	62262858	62273733
BambuTx87	PF00102.32	Y_phosphatase	CL0031	406	640	Domain	212.7	6.5e-63	1	NA	Reference	Reference	1257	1961	11	17	62275930	62293196
BambuTx93	PF10580.14	Neuromodulin_N	No_Clan	29	54	Domain	47.1	2e-12	1	NA	Truncation	Non-reference	111	188	1	2	115547937	115676075
BambuTx93	PF00612.32	IQ	CL0220	55	75	Motif	26.2	4.7e-6	1	NA	Reference	Reference	189	251	2	2	115676076	115676138
BambuTx93	PF06614.16	Neuromodulin	CL0756	90	261	Family	269.1	2.5e-80	1	NA	Reference	Reference	294	809	2	3	115676181	115720879
BambuTx98	PF05208.18	ALG3	CL0111	31	371	Family	462.4	1.5e-138	1	NA	Reference	Reference	175	1197	1	9	184248782	184242613
BambuTx99	PF15010.11	FAM131	No_Clan	1	273	Family	466.9	4.5e-140	1	NA	Reference	Reference	223	1041	2	5	184341748	184344943
ENST00000002125.9	PF02636.22	Methyltransf_28	CL0063	100	354	Family	226.1	5.4e-67	1	NA	Reference	Reference	346	1110	4	9	37237757	37247581
ENST00000003302.8	PF22566.1	UBA_8	CL0214	19	65	Domain	56.8	1.6e-15	1	NA	Reference	Reference	124	264	1	3	113875447	113852574
ENST00000003302.8	PF21909.1	USP_UIM_N	CL0702	74	126	Domain	99.9	7.7e-29	1	NA	Reference	Reference	289	447	3	5	113852549	113840754
ENST00000003302.8	PF00443.34	UCH	CL0125	162	647	Family	168.6	2.2e-49	1	NA	Insertion	Non-reference	553	2010	5	16	113840648	113812307
ENST00000003583.12	PF07004.17	SHIPPO-rpt	No_Clan	100	132	Repeat	9.6	2.7	1	NA	Reference	Reference	440	538	4	5	24379676	24373736
ENST00000003583.12	PF07004.17	SHIPPO-rpt	No_Clan	140	171	Repeat	13.7	0.13	1	NA	Reference	Reference	560	655	5	6	24373714	24369757
ENST00000003583.12	PF07004.17	SHIPPO-rpt	No_Clan	178	213	Repeat	14.8	0.062	1	NA	Insertion	Non-reference	674	781	6	7	24369738	24360999
ENST00000003583.12	PF07004.17	SHIPPO-rpt	No_Clan	219	249	Repeat	12.4	0.35	1	NA	Complex	Non-reference	797	889	7	7	24360983	24360891
ENST00000004531.14	PF13520.11	AA_permease_2	CL0062	74	489	Family	167.7	4.9e-49	1	NA	Complex	Non-reference	268	1515	2	9	17543439	17560376
ENST00000004531.14	PF13906.11	AA_permease_C	CL0062	596	646	Domain	87.8	4.3e-25	1	NA	Reference	Reference	1834	1986	10	12	17562105	17564987
ENST00000006777.11	PF01694.27	Rhomboid	CL0207	57	203	Family	90.6	1.3e-25	1	NA	Reference	Reference	218	658	1	3	75879251	75883720
ENST00000007264.7	PF00849.27	PseudoU_synth_2	CL0649	17	182	Family	75	8.8e-21	1	NA	Reference	Reference	182	679	2	6	787689	786343
ENST00000007969.12	PF14580.11	LRR_9	CL0022	179	329	Repeat	50	3e-13	1	NA	Complex	Non-reference	755	1207	5	7	6907359	6912958
ENST00000008440.9	PF10263.14	SprT-like	CL0126	45	112	Domain	51.7	8e-14	1	NA	Truncation	Non-reference	261	464	1	3	231338516	231351318
ENST00000008440.9	PF22934.1	SPRTN_ZBD	No_Clan	121	168	Family	91.8	2.5e-26	1	NA	Reference	Reference	489	632	3	3	231351343	231351486
ENST00000009530.13	PF09307.15	MHC2-interact	No_Clan	17	129	Domain	154.9	6.6e-46	1	NA	Reference	Reference	210	548	1	4	150412701	150406313
ENST00000009530.13	PF08831.15	MHCassoc_trimer	No_Clan	136	204	Domain	114.5	2.1e-33	1	NA	Reference	Reference	567	773	4	6	150406294	150404693
ENST00000009530.13	PF00086.23	Thyroglobulin_1	No_Clan	208	271	Domain	56.4	1.8e-15	1	NA	Complex	Non-reference	783	974	6	7	150404683	150403125
ENST00000010132.6	PF00069.30	Pkinase	CL0016	104	400	Domain	183.6	5.4e-54	1	NA	Insertion	Non-reference	452	1342	4	11	4596176	4612597
ENST00000010404.6	PF01124.23	MAPEG	No_Clan	16	150	Family	103.9	8.1e-30	1	NA	Reference	Reference	111	515	2	4	16354298	16364023
ENST00000011898.10	PF00335.25	Tetraspanin	CL0347	9	229	Family	205.4	1.1e-60	1	NA	Reference	Reference	184	846	3	9	3201218	3283083
ENST00000012134.7	PF00096.31	zf-C2H2	CL0361	189	211	Domain	19	0.0017	1	NA	Reference	Reference	1341	1409	4	4	142774174	142774106
ENST00000012134.7	PF00096.31	zf-C2H2	CL0361	217	239	Domain	16.5	0.01	1	NA	Complex	Non-reference	1425	1493	4	4	142774090	142774022
ENST00000012443.9	PF00515.33	TPR_1	CL0020	28	61	Repeat	32.7	5.1e-8	1	NA	Reference	Reference	92	193	1	2	46347178	46353809
ENST00000012443.9	PF08321.17	PPP5	CL0020	136	228	Repeat	111.7	1.8e-32	1	NA	Reference	Reference	416	694	3	5	46375646	46383461
ENST00000012443.9	PF00149.33	Metallophos	CL0163	235	431	Domain	139.7	1.8e-40	1	NA	Reference	Reference	713	1303	6	11	46383783	46388669
ENST00000013125.9	PF00069.30	Pkinase	CL0016	20	277	Domain	211.2	2.1e-62	1	NA	Reference	Reference	377	1150	2	13	50531992	50462770
ENST00000013125.9	PF00780.27	CNH	CL0186	521	815	Repeat	177.5	5.2e-52	1	NA	Insertion	Non-reference	1880	2764	21	32	50442735	50423129
ENST00000026218.9	PF05024.20	Gpi1	No_Clan	247	511	Family	291.3	7.9e-87	1	NA	Reference	Reference	827	1621	3	10	575888	582884
ENST00000029410.10	PF13733.11	Glyco_transf_7N	CL0110	80	177	Domain	77.2	1e-21	1	NA	Truncation	Non-reference	317	610	2	3	177604366	177607419
ENST00000029410.10	PF02709.19	Glyco_transf_7C	CL0110	181	258	Family	86.7	7.2e-25	1	NA	Reference	Reference	620	853	3	5	177607429	177608960
ENST00000039989.9	PF13181.11	TPR_8	CL0020	295	328	Repeat	16.6	0.0075	1	NA	Insertion	Non-reference	918	1019	7	8	43397456	43398039
ENST00000039989.9	PF13181.11	TPR_8	CL0020	691	722	Repeat	13.9	0.059	1	NA	Complex	Non-reference	2106	2201	16	16	43414596	43414691
ENST00000042381.9	PF15903.10	PL48	No_Clan	17	365	Family	557.9	8.9e-168	1	NA	Reference	Reference	158	1204	2	13	67538495	67541881
ENST00000052569.10	PF00595.29	PDZ	CL0466	280	360	Domain	62	6.2e-17	1	NA	Reference	Reference	1078	1320	5	7	117570910	117567008
ENST00000055335.11	PF03370.18	CBM_21	CL0576	157	284	Domain	76.4	2.3e-21	1	NA	Complex	Non-reference	546	929	1	1	49270338	49270721
ENST00000055682.12	PF15735.10	DUF4683	No_Clan	284	690	Family	423	2.5e-126	1	NA	Reference	Reference	1467	2687	3	3	74743707	74742487
ENST00000064778.8	PF14944.11	TCRP1	No_Clan	1	244	Family	398.9	1.2e-119	1	NA	Reference	Reference	286	1017	2	8	73468474	73407534
ENST00000070846.11	PF00514.28	Arm	CL0020	384	424	Repeat	26.7	4.7e-6	1	NA	Reference	Reference	1196	1318	4	5	32868947	32850872
ENST00000070846.11	PF00514.28	Arm	CL0020	426	467	Repeat	20.4	4.7e-4	1	NA	Reference	Reference	1322	1447	5	6	32850868	32843291
ENST00000072516.7	PF18452.6	Ig_6	CL0159	55	144	Domain	29.5	6.8e-7	1	NA	Complex	Non-reference	333	602	3	4	190604226	190609076
ENST00000072516.7	PF01582.25	TIR	CL0173	404	570	Family	121.3	4.6e-35	1	NA	Reference	Reference	1380	1880	10	11	190645707	190648702
ENST00000085068.7	PF00857.25	Isochorismatase	No_Clan	16	179	Family	75.5	6.2e-21	1	NA	Reference	Reference	183	674	2	5	55456441	55455037
ENST00000085079.11	PF01417.25	ENTH	CL0020	17	140	Repeat	185.4	4e-55	1	NA	Reference	Reference	341	712	2	3	55678676	55685587
ENST00000156825.5	PF01429.24	MBD	CL0081	4	40	Domain	23.2	4.8e-5	1	NA	Truncation	Non-reference	180	290	1	2	1592622	1585109
ENST00000156825.5	PF16564.10	MBDa	CL0081	47	116	Domain	100	7.7e-29	1	NA	Reference	Reference	309	518	2	4	1585090	1582677
ENST00000156825.5	PF14048.11	MBD_C	No_Clan	120	211	Family	121.6	2.1e-35	1	NA	Reference	Reference	528	803	4	6	1582667	1578487
ENST00000158166.5	PF00069.30	Pkinase	CL0016	128	447	Domain	187.1	4.6e-55	1	NA	Insertion	Non-reference	531	1490	3	15	3884406	3869601
ENST00000159111.9	PF02375.22	JmjN	CL0029	16	50	Family	51.4	8.4e-14	1	NA	Reference	Reference	272	376	3	4	5032936	5039844
ENST00000159111.9	PF02373.27	JmjC	CL0029	176	292	Domain	146.6	4.4e-43	1	NA	Reference	Reference	752	1102	6	9	5047569	5082462
ENST00000159111.9	PF13831.11	PHD_2	CL0229	754	789	Family	53.8	1.1e-14	1	NA	Reference	Reference	2486	2593	15	16	5135513	5137320
ENST00000159111.9	PF13832.11	zf-HC5HC2H_2	CL0229	795	906	Domain	126.9	4.3e-37	1	NA	Reference	Reference	2609	2944	16	19	5137336	5144134
ENST00000159111.9	PF18104.6	Tudor_2	CL0010	922	956	Domain	53.9	1.3e-14	1	NA	Reference	Reference	2990	3094	20	20	5144275	5144379
ENST00000160740.7	PF00505.24	HMG_box	CL0114	200	268	Domain	63.1	2.9e-17	1	NA	Reference	Reference	1283	1489	5	6	42287560	42287848
ENST00000160827.9	PF00225.28	Kinesin	CL0023	49	368	Domain	316.8	1.7e-94	1	NA	Reference	Reference	154	1113	2	7	29796967	29799741
ENST00000160827.9	PF12836.12	HHH_3	CL0198	595	650	Domain	39.8	4.3e-10	1	NA	Truncation	Non-reference	1792	1959	12	13	29804919	29805174
ENST00000164227.10	PF12796.12	Ank_2	CL0465	184	272	Repeat	54.3	1.8e-14	1	NA	Complex	Non-reference	633	899	4	6	44757047	44757648
ENST00000164640.8	PF00595.29	PDZ	CL0466	130	212	Domain	50.5	2.4e-13	1	NA	Reference	Reference	580	828	4	6	153806840	153805520
ENST00000165698.9	PF03134.24	TB2_DP1_HVA22	No_Clan	19	95	Family	99.8	7.2e-29	1	NA	Reference	Reference	199	429	2	4	86282220	86254712
ENST00000166244.8	PF01404.24	Ephrin_lbd	CL0202	32	204	Domain	227.9	1e-67	1	NA	Reference	Reference	241	759	1	3	22563729	22576669
ENST00000166244.8	PF00041.26	fn3	CL0159	328	429	Domain	31.4	2.1e-7	1	NA	Complex	Non-reference	1129	1434	5	5	22588873	22589178
ENST00000166244.8	PF00041.26	fn3	CL0159	438	530	Domain	63.4	2.1e-17	1	NA	Insertion	Non-reference	1459	1737	5	7	22589203	22593673
ENST00000166244.8	PF14575.11	EphA2_TM	No_Clan	543	632	Domain	57.6	1.9e-15	1	NA	Insertion	Non-reference	1774	2043	8	10	22595253	22597442
ENST00000166244.8	PF07714.22	PK_Tyr_Ser-Thr	CL0016	635	892	Domain	317.2	8.6e-95	1	NA	Reference	Reference	2050	2823	10	15	22597449	22601035
ENST00000166244.8	PF00536.36	SAM_1	CL0003	931	992	Domain	72.2	4e-20	1	NA	Reference	Reference	2938	3123	16	17	22601361	22601699
ENST00000166534.8	PF08336.16	P4Ha_N	No_Clan	26	157	Family	134.8	2e-39	1	NA	Reference	Reference	298	693	3	7	132218551	132210522
ENST00000166534.8	PF13640.11	2OG-FeII_Oxy_3	CL0029	416	519	Domain	54.8	1.7e-14	1	NA	Reference	Reference	1468	1779	11	16	132203753	132193061
ENST00000167218.9	PF01753.23	zf-MYND	CL0175	135	172	Domain	37.9	1.6e-9	1	NA	Reference	Reference	467	580	2	2	170583628	170583515
ENST00000167462.9	PF08366.18	LLGL	No_Clan	271	372	Family	138.4	1e-40	1	NA	Reference	Reference	941	1246	8	11	75563448	75568555
ENST00000167462.9	PF00400.37	WD40	CL0186	423	451	Repeat	14.1	0.064	1	NA	Complex	Non-reference	1397	1483	12	13	75568784	75569008
ENST00000169298.8	PF00777.23	Glyco_transf_29	No_Clan	145	386	Family	121.9	3.9e-35	1	NA	Truncation	Non-reference	1066	1791	4	8	187043136	187075740
ENST00000171887.8	PF10409.14	PTEN_C2	CL0154	179	306	Domain	139.1	8.5e-41	1	NA	Reference	Reference	988	1371	11	15	217886603	217882365
ENST00000175756.10	PF00102.32	Y_phosphatase	CL0031	56	290	Domain	262.7	3.7e-78	1	NA	Reference	Reference	218	922	2	11	130358939	130370910
