seqnames	start	end	width	strand	isoform_id	gene_id	gene_name
chr7	2601441	2601464	24	+	ENST00000402050	IQCE	IQCE
chr7	122034095	122034115	21	+	ENST00000651065	PTPRZ1	PTPRZ1
chr7	32051554	32051580	27	-	ENST00000396184	PDE1C	PDE1C
chr8	22080618	22080625	8	+	ENST00000358242	DMTN	DMTN
chr8	32749561	32749584	24	+	ENST00000650819	NRG1	NRG1
chr8	32749561	32749584	24	+	ENST00000652592	NRG1	NRG1
chr8	94867173	94867196	24	+	ENST00000522261	INTS8	INTS8
chr8	103716309	103716320	12	+	ENST00000696799	RIMS2	RIMS2
chr8	103716309	103716320	12	+	ENST00000696801	RIMS2	RIMS2
chr8	41700431	41700454	24	-	ENST00000265709	ANK1	ANK1
chr8	80050445	80050471	27	-	ENST00000517462	TPD52	TPD52
chr8	80050445	80050471	27	-	ENST00000518937	TPD52	TPD52
chr9	129915966	129915980	15	-	ENST00000699492	FNBP1	FNBP1
chr10	71643861	71643866	6	+	ENST00000299366	CDH23	CDH23
chr10	91484334	91484345	12	+	ENST00000446394	HECTD2	HECTD2
chr11	6603796	6603822	27	+	ENST00000534565	ILK	ILK
chr11	20068186	20068209	24	+	ENST00000360655	NAV2	NAV2
chr11	63906088	63906114	27	+	ENST00000402010	MARK2	MARK2
chr11	120406118	120406141	24	+	ENST00000397843	ARHGEF12	ARHGEF12
chr11	123578410	123578430	21	+	ENST00000456860	GRAMD1B	GRAMD1B
chr11	123584312	123584332	21	+	ENST00000456860	GRAMD1B	GRAMD1B
chr11	123584312	123584332	21	+	ENST00000635736	GRAMD1B	GRAMD1B
chr11	123584312	123584332	21	+	ENST00000638157	GRAMD1B	GRAMD1B
chr11	123618345	123618356	12	+	ENST00000456860	GRAMD1B	GRAMD1B
chr11	65551548	65551564	17	-	ENST00000301873	LTBP3	LTBP3
chr12	8922633	8922656	24	+	ENST00000540574	PHC1	PHC1
chr12	48824949	48824968	20	+	ENST00000301050	CACNB3	CACNB3
chr12	96621712	96621721	10	+	ENST00000550977	CFAP54	CFAP54
chr12	100337387	100337404	18	+	ENST00000549687	SCYL2	SCYL2
chr12	110282604	110282621	18	+	ENST00000539276	ATP2A2	ATP2A2
chr12	39315229	39315240	12	-	ENST00000361418	KIF21A	KIF21A
chr12	39315229	39315240	12	-	ENST00000361961	KIF21A	KIF21A
chr12	39330242	39330262	21	-	ENST00000361418	KIF21A	KIF21A
chr12	39330242	39330262	21	-	ENST00000361961	KIF21A	KIF21A
chr12	53727404	53727428	25	-	ENST00000548263	CALCOCO1	CALCOCO1
chr12	98782126	98782137	12	-	ENST00000333732	ANKS1B	ANKS1B
chr12	98782126	98782137	12	-	ENST00000683438	ANKS1B	ANKS1B
chr12	118071052	118071067	16	-	ENST00000359236	VSIG10	VSIG10
chr13	114301731	114301756	26	+	ENST00000493727	UPF3A	UPF3A
chr14	21263311	21263336	26	-	ENST00000554455	HNRNPC	HNRNPC
chr14	50438092	50438094	3	-	ENST00000013125	MAP4K5	MAP4K5
chr14	65101546	65101572	27	-	ENST00000284165	MAX	MAX
chr14	65101546	65101572	27	-	ENST00000394606	MAX	MAX
chr15	49632159	49632177	19	+	ENST00000559405	DTWD1	DTWD1
chr15	90217767	90217785	19	+	ENST00000560003	SEMA4B	SEMA4B
chr15	70064454	70064470	17	-	ENST00000317509	TLE3	TLE3
chr15	73563236	73563257	22	-	ENST00000345330	NPTN	NPTN
chr15	73563236	73563257	22	-	ENST00000351217	NPTN	NPTN
chr16	67539728	67539751	24	+	ENST00000540839	RIPOR1	RIPOR1
chr16	69335326	69335348	23	-	ENST00000562595	COG8	COG8
chr17	12973302	12973319	18	+	ENST00000379672	ARHGAP44	ARHGAP44
chr17	27585657	27585661	5	+	ENST00000644974	KSR1	KSR1
chr17	39629540	39629562	23	+	ENST00000254079	PPP1R1B	PPP1R1B
chr17	75487932	75487955	24	+	ENST00000579707	TMEM94	TMEM94
chr17	76767441	76767451	11	+	ENST00000585865	MFSD11	MFSD11
chr17	15993757	15993778	22	-	ENST00000486706	ZSWIM7	ZSWIM7
chr17	28759850	28759876	27	-	ENST00000579381	FAM222B	FAM222B
chr19	582306	582330	25	+	ENST00000333511	BSG	BSG
chr19	582306	582330	25	+	ENST00000353555	BSG	BSG
chr19	582306	582330	25	+	ENST00000545507	BSG	BSG
chr19	19104913	19104938	26	+	ENST00000318596	SLC25A42	SLC25A42
chr19	19104913	19104938	26	+	ENST00000594070	SLC25A42	SLC25A42
chr19	35121222	35121245	24	+	ENST00000604404	FXYD3	FXYD3
chr19	35878082	35878108	27	+	ENST00000221891	APLP1	APLP1
chr19	35878082	35878108	27	+	ENST00000590561	APLP1	APLP1
chr19	49146166	49146192	27	+	ENST00000334186	PPFIA3	PPFIA3
chr19	430741	430747	7	-	ENST00000590222	SHC2	SHC2
chr20	32367727	32367729	3	+	ENST00000375687	ASXL1	ASXL1
chr20	35554372	35554386	15	+	ENST00000357394	ERGIC3	ERGIC3
chr20	62238574	62238597	24	+	ENST00000645426	OSBPL2	OSBPL2
chr20	63943653	63943669	17	-	ENST00000354216	UCKL1	UCKL1
chr20	63943653	63943669	17	-	ENST00000369908	UCKL1	UCKL1
chr21	34103497	34103519	23	+	ENST00000477091	MRPS6	MRPS6
chr22	40251179	40251200	22	+	ENST00000335727	TNRC6B	TNRC6B
chr22	40251179	40251200	22	+	ENST00000402203	TNRC6B	TNRC6B
chrX	150712342	150712365	24	+	ENST00000445323	MTMR1	MTMR1
chrX	154398377	154398394	18	+	ENST00000369817	RPL10	RPL10
chrX	154398378	154398394	17	+	ENST00000458500	RPL10	RPL10
chrX	41622617	41622634	18	-	ENST00000378163	CASK	CASK
chrX	48462122	48462144	23	-	ENST00000413668	SLC38A5	SLC38A5
chrX	154357251	154357274	24	-	ENST00000369850	FLNA	FLNA
