isoform_id	genes	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype	condition_1	condition_2
ENST00000265770	ENST00000265770.11	-4.508483652856309	9.391653115912248	243.05746951503892	2.175339340442463e-12	2.170056373472817e-9	ENSG00000015592	STMN4	protein_coding	FT	RGC
ENST00000298743	ENST00000298743.9	4.547778955177982	7.2160586379798906	243.73035591724286	2.1220719831686723e-12	2.170056373472817e-9	ENSG00000180447	GAS1	protein_coding	FT	RGC
ENST00000369700	ENST00000369700.4	5.685043226948131	6.583199155776445	243.82205508186485	2.114924987582726e-12	2.170056373472817e-9	ENSG00000146250	PRSS35	protein_coding	FT	RGC
ENST00000294312	ENST00000294312.4	5.205225720265805	7.008702253078214	240.2803301549038	2.411346015611042e-12	2.2961494400470783e-9	ENSG00000162344	FGF19	protein_coding	FT	RGC
ENST00000305031	ENST00000305031.5	5.821285662288954	6.133220431632431	235.23043162437477	2.9163903953236956e-12	2.545644266318171e-9	ENSG00000198108	CHSY3	protein_coding	FT	RGC
ENST00000390654	ENST00000390654.8	6.556263060330012	6.097464307980067	235.87525668866556	2.845830322214872e-12	2.545644266318171e-9	ENSG00000050767	COL23A1	protein_coding	FT	RGC
ENST00000305124	ENST00000305124.11	-4.191162116857327	7.535484549141951	233.85153353236714	3.0738469914709554e-12	2.5757608249730017e-9	ENSG00000172020	GAP43	protein_coding	FT	RGC
ENST00000253407	ENST00000253407.4	-4.60278057049066	9.270201553228905	232.3071624593084	3.2614300977127655e-12	2.6278345814224894e-9	ENSG00000131094	C1QL1	protein_coding	FT	RGC
ENST00000346786	ENST00000346786.2	8.229111399610172	5.662982998436342	229.08021412134647	3.69553802976854e-12	2.867326895763746e-9	ENSG00000101335	MYL9	protein_coding	FT	RGC
ENST00000319420	ENST00000319420.4	4.246512776021924	7.7041503526848185	225.17313171874625	4.308649907875642e-12	3.2236395328602438e-9	ENSG00000180730	SHISA2	protein_coding	FT	RGC
ENST00000227507	ENST00000227507.3	4.25387909275241	7.7196934940582	221.90218689894434	4.908840642847269e-12	3.3172678266776594e-9	ENSG00000110092	CCND1	protein_coding	FT	RGC
ENST00000282388	ENST00000282388.4	4.404092127637128	7.885221710544728	222.72012466941226	4.750551190875066e-12	3.3172678266776594e-9	ENSG00000152518	ZFP36L2	protein_coding	FT	RGC
ENST00000282561	ENST00000282561.4	6.068602507353877	6.039957523073051	222.34154763791264	4.823102912569432e-12	3.3172678266776594e-9	ENSG00000152661	GJA1	protein_coding	FT	RGC
ENST00000311308	ENST00000311308.7	-7.277661839809987	5.926195620959249	218.61699530502025	5.605898588541574e-12	3.6699365478549196e-9	ENSG00000174521	TTC9B	protein_coding	FT	RGC
ENST00000246104	ENST00000246104.7	-5.638767592791329	6.451253594859528	211.45901982076307	7.535509437659027e-12	4.783678400288454e-9	ENSG00000215397	SCRT2	protein_coding	FT	RGC
ENST00000225441	ENST00000225441.11	-5.3037259308934415	5.637722011022884	209.87862202844278	8.05408063996141e-12	4.962498097839752e-9	ENSG00000108309	RUNDC3A	protein_coding	FT	RGC
ENST00000240100	ENST00000240100.7	-4.057291622368273	7.3238375481410065	205.87220092773782	9.55421315998872e-12	5.559755874683436e-9	ENSG00000120875	DUSP4	protein_coding	FT	RGC
ENST00000514985	ENST00000514985.6	4.452502146453806	7.170233263978208	206.16972081489092	9.43280662696211e-12	5.559755874683436e-9	ENSG00000250722	SELENOP	protein_coding	FT	RGC
ENST00000257860	ENST00000257860.9	-4.9890105307514325	6.736062875002652	202.93452498225258	1.0850098011042356e-11	5.828171877777598e-9	ENSG00000135406	PRPH	protein_coding	FT	RGC
ENST00000274063	ENST00000274063.5	4.203789157027933	9.439149107425244	203.4642206754731	1.0602773516667522e-11	5.828171877777598e-9	ENSG00000145423	SFRP2	protein_coding	FT	RGC
ENST00000446119	ENST00000446119.2	5.8814000028341615	5.661237567849719	203.30409395997592	1.0676876989512601e-11	5.828171877777598e-9	ENSG00000011028	MRC2	protein_coding	FT	RGC
ENST00000356455	ENST00000356455.9	5.766215090545723	6.535983765521327	201.3759274606137	1.161554222864895e-11	6.083349853699171e-9	ENSG00000175063	UBE2C	protein_coding	FT	RGC
ENST00000271638	ENST00000271638.3	5.611597797631189	5.780419357795562	199.26834039193207	1.2747041584750069e-11	6.513116442900712e-9	ENSG00000163191	S100A11	protein_coding	FT	RGC
ENST00000252486	ENST00000252486.9	3.769644114998142	7.950712765685266	195.89116429683776	1.4822471576820873e-11	7.057180842336829e-9	ENSG00000130203	APOE	protein_coding	FT	RGC
ENST00000261861	ENST00000261861.10	-3.973732495505747	6.51900143122096	196.0958878205457	1.468655809902626e-11	7.057180842336829e-9	ENSG00000103647	CORO2B	protein_coding	FT	RGC
ENST00000373673	ENST00000373673.5	-4.311840819400453	8.475776850068195	196.13372653142744	1.4661588361523555e-11	7.057180842336829e-9	ENSG00000179774	ATOH7	protein_coding	FT	RGC
ENST00000220876	ENST00000220876.12	-4.773900583200574	10.895962695326677	192.57856299396423	1.7226255941062766e-11	8.019396349096087e-9	ENSG00000104435	STMN2	protein_coding	FT	RGC
ENST00000366820	ENST00000366820.10	10.283225159808573	5.393332544370926	209.83271160972458	1.8219831862146783e-11	8.297549080002457e-9	ENSG00000143768	LEFTY2	protein_coding	FT	RGC
ENST00000282928	ENST00000282928.5	5.3434186089493085	5.817598087687226	189.4463967324251	1.9900149050725648e-11	8.685171301326074e-9	ENSG00000152977	ZIC1	protein_coding	FT	RGC
ENST00000478951	ENST00000478951.6	-4.5139443375845465	7.14160815698031	189.8614590085876	1.952081898350375e-11	8.685171301326074e-9	ENSG00000144834	TAGLN3	protein_coding	FT	RGC
ENST00000616661	ENST00000616661.5	4.9186699061687005	6.761329219159462	188.15091744158502	2.11374130534945e-11	9.036891144033802e-9	ENSG00000162496	DHRS3	protein_coding	FT	RGC
ENST00000263314	ENST00000263314.3	-5.348344513477232	5.363960444605125	187.09613952297968	2.2207615490743035e-11	9.304546738311518e-9	ENSG00000109991	P2RX3	protein_coding	FT	RGC
ENST00000299610	ENST00000299610.5	4.439440330745754	6.186785795919198	185.6925829956372	2.3725553385710397e-11	9.55820418994706e-9	ENSG00000166482	MFAP4	protein_coding	FT	RGC
ENST00000443236	ENST00000443236.7	7.159393258349326	5.450369066137592	186.05943422548685	2.3318045909207182e-11	9.55820418994706e-9	ENSG00000160111	CPAMD8	protein_coding	FT	RGC
ENST00000359227	ENST00000359227.8	-3.8802329187937685	8.043221347442872	185.23349076060018	2.4246637825552224e-11	9.583826713348934e-9	ENSG00000196361	ELAVL3	protein_coding	FT	RGC
ENST00000252575	ENST00000252575.11	-4.530583844630925	6.00058942898194	184.6373861817728	2.4942177894754796e-11	9.676179346615152e-9	ENSG00000130287	NCAN	protein_coding	FT	RGC
ENST00000321348	ENST00000321348.9	10.14782115010305	5.263904400616113	197.01076081520102	3.0991681685478365e-11	1.1576637876233076e-8	ENSG00000071967	CYBRD1	protein_coding	FT	RGC
ENST00000342032	ENST00000342032.8	-3.807629654753895	6.735568296081344	179.42751435216874	3.205141041679882e-11	1.1576637876233076e-8	ENSG00000106341	PPP1R17	protein_coding	FT	RGC
ENST00000372017	ENST00000372017.4	-3.60932993992734	8.382656442325723	179.57481884709594	3.182207411611955e-11	1.1576637876233076e-8	ENSG00000173267	SNCG	protein_coding	FT	RGC
ENST00000504425	ENST00000504425.5	-4.729492141558451	5.762329030698684	179.4436937691788	3.202613194722872e-11	1.1576637876233076e-8	ENSG00000137473	TTC29	protein_coding	FT	RGC
ENST00000234396	ENST00000234396.10	3.629792493865315	7.734873219405392	176.88369466921185	3.631395301067363e-11	1.2471163960993475e-8	ENSG00000116039	ATP6V1B1	protein_coding	FT	RGC
ENST00000262464	ENST00000262464.9	4.572340179431956	6.173410945287556	177.1055438704878	3.5918345649598284e-11	1.2471163960993475e-8	ENSG00000138829	FBN2	protein_coding	FT	RGC
ENST00000488120	ENST00000488120.2	-3.699798097339367	8.617909337277473	177.22995627678247	3.5698573679660964e-11	1.2471163960993475e-8	ENSG00000077279	DCX	protein_coding	FT	RGC
ENST00000378482	ENST00000378482.7	-3.661428630764573	8.226574864946777	175.21142219143152	3.945552175268642e-11	1.3331511696726254e-8	ENSG00000156298	TSPAN7	protein_coding	FT	RGC
ENST00000261980	ENST00000261980.3	3.4855453322572187	7.413025585780028	173.96526572698713	4.1991679399457404e-11	1.3745057683425518e-8	ENSG00000119614	VSX2	protein_coding	FT	RGC
ENST00000271636	ENST00000271636.12	3.751501545851945	6.650976436501018	173.99891080141032	4.192088764238351e-11	1.3745057683425518e-8	ENSG00000143375	CGN	protein_coding	FT	RGC
ENST00000249700	ENST00000249700.9	-3.788970387326922	6.854273039620559	173.06053262816852	4.3945678231036534e-11	1.4163354050184376e-8	ENSG00000128872	TMOD2	protein_coding	FT	RGC
ENST00000262493	ENST00000262493.12	-4.462368581499374	5.727198702032476	171.25581143395436	4.8150308347625664e-11	1.5247293482186996e-8	ENSG00000087258	GNAO1	protein_coding	FT	RGC
ENST00000305901	ENST00000305901.7	-4.142087653182897	6.628888540367652	171.00679197133977	4.8764555029191314e-11	1.5247293482186996e-8	ENSG00000169856	ONECUT1	protein_coding	FT	RGC
ENST00000267260	ENST00000267260.5	-3.541549262519742	7.084385804059234	170.47786375838666	5.009814155914926e-11	1.543391128709732e-8	ENSG00000139767	SRRM4	protein_coding	FT	RGC
ENST00000282111	ENST00000282111.4	4.535143922665785	5.730355655870796	166.17603664348073	6.25688711663966e-11	1.899645336325859e-8	ENSG00000152284	TCF7L1	protein_coding	FT	RGC
ENST00000388835	ENST00000388835.4	4.416802675720304	6.242159880963092	165.6661145975055	6.426143730221419e-11	1.9231612143486926e-8	ENSG00000111057	KRT18	protein_coding	FT	RGC
ENST00000426726	ENST00000426726.8	-3.707662888494181	6.272577413483264	163.72940536841347	7.116603120397961e-11	2.0997988559044634e-8	ENSG00000108309	RUNDC3A	protein_coding	FT	RGC
ENST00000231061	ENST00000231061.9	4.50949496008907	6.5290660357709225	163.16211358265522	7.334065915231542e-11	2.111110104273749e-8	ENSG00000113140	SPARC	protein_coding	FT	RGC
ENST00000408968	ENST00000408968.4	6.9116211123863245	5.214325878789592	163.10468336680458	7.356486591817446e-11	2.111110104273749e-8	ENSG00000185885	IFITM1	protein_coding	FT	RGC
ENST00000355841	ENST00000355841.7	4.497064593726905	5.887784820335794	162.70932993740212	7.512900654262747e-11	2.1268615649479767e-8	ENSG00000196923	PDLIM7	protein_coding	FT	RGC
ENST00000277415	ENST00000277415.15	-5.055566498888863	5.403488657767822	161.8452915742961	7.867677526561971e-11	2.1975996867192897e-8	ENSG00000130558	OLFM1	protein_coding	FT	RGC
ENST00000328619	ENST00000328619.10	-3.7250543273061534	8.055695991870218	158.08493185172264	9.642561014334061e-11	2.657921193280056e-8	ENSG00000183036	PCP4	protein_coding	FT	RGC
ENST00000288207	ENST00000288207.7	5.164686865748926	6.0608609129487006	157.2269230322684	1.010681818072994e-10	2.7497108320533962e-8	ENSG00000157456	CCNB2	protein_coding	FT	RGC
ENST00000555619	ENST00000555619.6	3.335839471745218	8.279616226916641	156.75471083497524	1.037281327218595e-10	2.785898272295173e-8	ENSG00000119655	NPC2	protein_coding	FT	RGC
ENST00000199936	ENST00000199936.9	6.4840817358694185	6.883513849328275	181.80497353573875	1.1007521030887829e-10	2.9189437731147992e-8	ENSG00000086696	HSD17B2	protein_coding	FT	RGC
ENST00000490466	ENST00000490466.2	5.005097877633014	5.395613738719579	155.1169761368583	1.1356976208294289e-10	2.9739661823444636e-8	ENSG00000142694	EVA1B	protein_coding	FT	RGC
ENST00000358171	ENST00000358171.8	4.617077301545822	5.748593968713765	154.47044811437078	1.1773505732555028e-10	3.044977427053028e-8	ENSG00000149257	SERPINH1	protein_coding	FT	RGC
ENST00000226328	ENST00000226328.8	-3.234101159707007	7.359434408117012	153.55497989764535	1.2392431478240007e-10	3.1278198438271074e-8	ENSG00000018189	RUFY3	protein_coding	FT	RGC
ENST00000651564	ENST00000651564.2	4.923844314789229	6.715805218004362	155.6594810671854	1.2328292446522485e-10	3.1278198438271074e-8	ENSG00000160111	CPAMD8	protein_coding	FT	RGC
ENST00000569446	ENST00000569446.3	-3.992254409082504	5.799387628654539	153.3027259015761	1.2569224450425957e-10	3.134674797761588e-8	ENSG00000261678	SCRT1	protein_coding	FT	RGC
ENST00000335698	ENST00000335698.4	5.258801939446745	5.707567870955014	151.92281910718566	1.358696796476083e-10	3.318235934069242e-8	ENSG00000165629	ATP5F1C	protein_coding	FT	RGC
ENST00000396210	ENST00000396210.8	4.91728099964921	5.41715562336052	151.87730937957033	1.3622048323545505e-10	3.318235934069242e-8	ENSG00000008394	MGST1	protein_coding	FT	RGC
ENST00000321562	ENST00000321562.9	4.007361151640096	6.8753786172486056	150.85305327326236	1.4438631940562397e-10	3.4767229945154216e-8	ENSG00000141756	FKBP10	protein_coding	FT	RGC
ENST00000451137	ENST00000451137.7	9.793279369543107	4.925906522024248	161.84791126124085	1.5951617491863286e-10	3.797391304966409e-8	ENSG00000142871	CCN1	protein_coding	FT	RGC
ENST00000396396	ENST00000396396.6	5.811735619891873	5.361013065451486	147.18768257321136	1.7835184596428028e-10	4.198081821467087e-8	ENSG00000154330	PGM5	protein_coding	FT	RGC
ENST00000265342	ENST00000265342.12	-6.127995666348749	4.809406037521412	146.95864530942902	1.8074995587132642e-10	4.207256472831575e-8	ENSG00000053108	FSTL4	protein_coding	FT	RGC
ENST00000362072	ENST00000362072.8	-5.2054745685103505	5.831238571811766	146.56491645902832	1.8725440394101797e-10	4.310760997978446e-8	ENSG00000149295	DRD2	protein_coding	FT	RGC
ENST00000300093	ENST00000300093.9	4.5267002454356495	5.425301282487995	146.05477723005538	1.905672801546234e-10	4.3393412521295716e-8	ENSG00000166851	PLK1	protein_coding	FT	RGC
ENST00000274289	ENST00000274289.8	3.2221069143085685	7.203386580708252	144.8264035342989	2.048654278825647e-10	4.614758977109514e-8	ENSG00000145632	PLK2	protein_coding	FT	RGC
ENST00000302101	ENST00000302101.6	-3.7019181168061968	7.701000571873169	144.01404892620928	2.1497011859458855e-10	4.790860653657485e-8	ENSG00000171786	NHLH1	protein_coding	FT	RGC
ENST00000263388	ENST00000263388.7	7.333790150555858	4.809028332954764	143.7869761431506	2.1789211663189582e-10	4.7998442843522306e-8	ENSG00000074181	NOTCH3	protein_coding	FT	RGC
ENST00000372684	ENST00000372684.8	-3.076958651962356	6.833599512934372	143.62863304072218	2.1995563095986163e-10	4.7998442843522306e-8	ENSG00000117016	RIMS3	protein_coding	FT	RGC
ENST00000268150	ENST00000268150.13	4.152984697904037	5.757130655519496	141.45029413547925	2.506460817713889e-10	5.413180172194666e-8	ENSG00000140545	MFGE8	protein_coding	FT	RGC
ENST00000490531	ENST00000490531.3	-3.053458071754959	6.828588214164197	140.8618187537876	2.5972764742831576e-10	5.552076006097741e-8	ENSG00000136274	NACAD	protein_coding	FT	RGC
ENST00000368921	ENST00000368921.5	-3.22640054645545	6.61230589328655	140.6179410044852	2.6359720391267957e-10	5.577876590673459e-8	ENSG00000213190	MLLT11	protein_coding	FT	RGC
ENST00000371250	ENST00000371250.4	3.381607225870287	6.766214591672446	139.51914250949577	2.818389334141922e-10	5.9042438160939126e-8	ENSG00000162407	PLPP3	protein_coding	FT	RGC
ENST00000240285	ENST00000240285.10	3.607189555685005	6.234679302511067	138.7946695798366	2.946268280576856e-10	6.05111511860829e-8	ENSG00000121039	RDH10	protein_coding	FT	RGC
ENST00000350889	ENST00000350889.9	-4.6408327054358285	5.135993994865625	138.8937367201882	2.9284095584711893e-10	6.05111511860829e-8	ENSG00000015592	STMN4	protein_coding	FT	RGC
ENST00000313708	ENST00000313708.11	-3.806429321382123	6.271435188689174	138.08181832708865	3.0783746753302253e-10	6.14179724509456e-8	ENSG00000164330	EBF1	protein_coding	FT	RGC
ENST00000397621	ENST00000397621.6	-3.127380360136485	6.818260442658349	138.28144844689064	3.0407317451606154e-10	6.14179724509456e-8	ENSG00000127585	FBXL16	protein_coding	FT	RGC
ENST00000437945	ENST00000437945.6	3.2144848311228906	7.691679862081544	138.09731500743877	3.075434229005414e-10	6.14179724509456e-8	ENSG00000106484	MEST	protein_coding	FT	RGC
ENST00000290585	ENST00000290585.8	-4.036737541258063	6.648790153754844	137.52081353353785	3.1869420129473014e-10	6.298419644267265e-8	ENSG00000159409	CELF3	protein_coding	FT	RGC
ENST00000503787	ENST00000503787.6	6.696961386544082	5.045737262877116	136.97140222054568	3.297375773265851e-10	6.455768698518347e-8	ENSG00000164294	GPX8	protein_coding	FT	RGC
ENST00000531738	ENST00000531738.6	3.245050838888022	6.769275618943096	136.5361352793742	3.3878669656385985e-10	6.571520839181759e-8	ENSG00000064309	CDON	protein_coding	FT	RGC
ENST00000224784	ENST00000224784.10	11.57180696542355	6.6351864547388315	206.08654477678616	3.570308403625695e-10	6.800593137061279e-8	ENSG00000107796	ACTA2	protein_coding	FT	RGC
ENST00000395052	ENST00000395052.8	-4.871639417226861	4.9212982789320785	135.6383224974447	3.5833061099375573e-10	6.800593137061279e-8	ENSG00000164082	GRM2	protein_coding	FT	RGC
ENST00000611745	ENST00000611745.2	-3.639427550584322	6.016140857607637	135.5493128682858	3.6033502229882184e-10	6.800593137061279e-8	ENSG00000177679	SRRM3	protein_coding	FT	RGC
ENST00000264436	ENST00000264436.9	-2.8711068076882027	7.416012060804141	134.90883536423812	3.751282379207826e-10	7.01657272875221e-8	ENSG00000075340	ADD2	protein_coding	FT	RGC
ENST00000452853	ENST00000452853.6	3.1662798291218386	6.713741758914134	134.75177686907415	3.7885736585939213e-10	7.023613236626907e-8	ENSG00000070087	PFN2	protein_coding	FT	RGC
ENST00000331830	ENST00000331830.7	-5.116663554909737	4.971460983592611	134.20748782437036	3.921008166877551e-10	7.205368428764721e-8	ENSG00000184144	CNTN2	protein_coding	FT	RGC
ENST00000376896	ENST00000376896.8	-3.0071215716618505	8.647703255450482	133.98943684441537	3.975490386133997e-10	7.2419607042714e-8	ENSG00000198963	RORB	protein_coding	FT	RGC
ENST00000450849	ENST00000450849.7	-3.1642300545334208	7.3273088105163735	133.64313724881413	4.063742279441489e-10	7.338908363105152e-8	ENSG00000167654	ATCAY	protein_coding	FT	RGC
ENST00000261839	ENST00000261839.12	4.339428073041116	5.6092038484460875	132.47831144652235	4.3768368659380355e-10	7.836782521755205e-8	ENSG00000128833	MYO5C	protein_coding	FT	RGC
ENST00000544301	ENST00000544301.7	3.464812516431266	6.5795937915853004	132.27527226602763	4.4340906030689204e-10	7.872013902007695e-8	ENSG00000026025	VIM	protein_coding	FT	RGC
ENST00000396603	ENST00000396603.6	-4.706170628113351	4.9259906256797805	131.15329600074733	4.765757648371449e-10	8.389735880313739e-8	ENSG00000122705	CLTA	protein_coding	FT	RGC
ENST00000368575	ENST00000368575.5	3.2891203648969163	6.259174293950624	129.2936022489225	5.377492819132846e-10	9.387758089001165e-8	ENSG00000143545	RAB13	protein_coding	FT	RGC
ENST00000272907	ENST00000272907.8	-5.549831200392551	4.607502731488598	128.91417177775662	5.512669199035495e-10	9.404013695433598e-8	ENSG00000144460	NYAP2	protein_coding	FT	RGC
ENST00000301200	ENST00000301200.3	4.826635889846915	5.043630317500333	128.88981322878755	5.521474459584385e-10	9.404013695433598e-8	ENSG00000167617	CDC42EP5	protein_coding	FT	RGC
ENST00000443831	ENST00000443831.1	7.334258877088999	4.8076069951545835	129.08651091884573	5.450812077757447e-10	9.404013695433598e-8	ENSG00000081479	LRP2	protein_coding	FT	RGC
ENST00000257905	ENST00000257905.13	-4.414869638813346	5.143570038876116	128.44767380971572	5.684030182654021e-10	9.525979863713527e-8	ENSG00000135447	PPP1R1A	protein_coding	FT	RGC
ENST00000371655	ENST00000371655.4	-3.0450923488704977	8.09148997034562	128.5034521896523	5.663234641140617e-10	9.525979863713527e-8	ENSG00000169213	RAB3B	protein_coding	FT	RGC
ENST00000295522	ENST00000295522.4	3.5195022158072606	6.469063852953266	128.1707852522802	5.788516543280553e-10	9.624097862316215e-8	ENSG00000163347	CLDN1	protein_coding	FT	RGC
ENST00000372733	ENST00000372733.3	3.6806437599710646	6.162145491836403	127.90152490603377	5.892161077832694e-10	9.661579516593072e-8	ENSG00000124145	SDC4	protein_coding	FT	RGC
ENST00000378024	ENST00000378024.9	4.1916098885233435	5.699434578752789	127.87290010069704	5.903299337075341e-10	9.661579516593072e-8	ENSG00000124942	AHNAK	protein_coding	FT	RGC
ENST00000233813	ENST00000233813.5	3.8370305919252603	8.630518935049947	130.70488431584758	6.284566652094812e-10	1.0050029526315588e-7	ENSG00000115461	IGFBP5	protein_coding	FT	RGC
ENST00000330871	ENST00000330871.3	3.540723043323783	6.323616466606007	127.11774440842557	6.20569988918526e-10	1.0050029526315588e-7	ENSG00000184557	SOCS3	protein_coding	FT	RGC
ENST00000405308	ENST00000405308.6	2.98667462798333	6.975784914928916	127.01861984495258	6.246648000247471e-10	1.0050029526315588e-7	ENSG00000110492	MDK	protein_coding	FT	RGC
ENST00000539008	ENST00000539008.6	-2.9140512244528614	7.2579640704266355	126.40787552136058	6.505620495383234e-10	1.0324715436195711e-7	ENSG00000011347	SYT7	protein_coding	FT	RGC
ENST00000310227	ENST00000310227.3	-2.9748663030928006	8.281324412451093	125.58731051427156	6.872407893211517e-10	1.0765279502586298e-7	ENSG00000173404	INSM1	protein_coding	FT	RGC
ENST00000377026	ENST00000377026.4	-4.110092472387363	5.173677922025612	125.4755167046591	6.924122071438798e-10	1.0765279502586298e-7	ENSG00000125814	NAPB	protein_coding	FT	RGC
ENST00000561030	ENST00000561030.5	-3.118628932699892	6.602160277093838	125.44699437381382	6.937384757502268e-10	1.0765279502586298e-7	ENSG00000169783	LINGO1	protein_coding	FT	RGC
ENST00000375078	ENST00000375078.4	-2.739414656279488	7.645799668746538	124.7176552815153	7.286233546134982e-10	1.1223478423381009e-7	ENSG00000162545	CAMK2N1	protein_coding	FT	RGC
ENST00000297323	ENST00000297323.12	-2.8174551669716354	7.1732049905464	123.98139470992388	7.658138824572639e-10	1.1710244542771693e-7	ENSG00000164742	ADCY1	protein_coding	FT	RGC
ENST00000423485	ENST00000423485.6	3.90511657200195	7.305843724752501	125.76540243474398	7.853507577193924e-10	1.192196595903156e-7	ENSG00000131747	TOP2A	protein_coding	FT	RGC
ENST00000569275	ENST00000569275.2	5.0861797004343146	5.536690224769683	123.14083458040881	8.108555353209516e-10	1.2220584611106915e-7	ENSG00000260802	SERTM2	protein_coding	FT	RGC
ENST00000333628	ENST00000333628.4	-2.947089406969224	9.3304387913899	122.69751188954517	8.357830759261898e-10	1.2506299755412679e-7	ENSG00000137267	TUBB2A	protein_coding	FT	RGC
ENST00000280979	ENST00000280979.9	-3.816725215013593	5.330541121067201	122.14906324957114	8.67799454191771e-10	1.2814987482864054e-7	ENSG00000151320	AKAP6	protein_coding	FT	RGC
ENST00000310955	ENST00000310955.11	6.357542524538746	4.688607735082852	122.03271559831794	8.747640508136711e-10	1.2814987482864054e-7	ENSG00000117399	CDC20	protein_coding	FT	RGC
ENST00000375820	ENST00000375820.10	4.001519469866384	5.317887646604925	122.06583493104337	8.727752591763803e-10	1.2814987482864054e-7	ENSG00000187498	COL4A1	protein_coding	FT	RGC
ENST00000335099	ENST00000335099.8	-3.569203757292487	5.660604776960397	121.55402291244786	9.040749479524486e-10	1.3061700748038514e-7	ENSG00000186907	RTN4RL2	protein_coding	FT	RGC
ENST00000367570	ENST00000367570.6	-5.044055880717679	4.6756747434889085	121.63870510818427	8.988117967175786e-10	1.3061700748038514e-7	ENSG00000198216	CACNA1E	protein_coding	FT	RGC
ENST00000338167	ENST00000338167.10	2.799167870856753	7.422679435852682	121.36742005666957	9.15793140147366e-10	1.3140377049963815e-7	ENSG00000084234	APLP2	protein_coding	FT	RGC
ENST00000290583	ENST00000290583.9	-3.5675989551977407	6.817966351312724	120.85605301403437	9.487739660564953e-10	1.3520997153005117e-7	ENSG00000159409	CELF3	protein_coding	FT	RGC
ENST00000338333	ENST00000338333.5	-3.0448958913044843	6.054780572475814	120.75231639583969	9.55623227795972e-10	1.352658851290393e-7	ENSG00000188573	FBLL1	protein_coding	FT	RGC
